Product ID;URL to Product Image;URL to Product Details;Language Key;Product Name;Product Description;Brand ID;Is Base Product;Open Access;Publisher Code;ImprintCode;PublisherName;Medium;Publisher ID;DOI
41252;https://covers.springernature.com/journals/jpg_width_153_pixels/41252.jpg;https://link.springer.com/journal/41252;EN;Advances in Neurodevelopmental Disorders;Advances Neurodevelopmental Disorders;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;
12325;https://covers.springernature.com/journals/jpg_width_153_pixels/12325.jpg;https://link.springer.com/journal/12325;EN;Advances in Therapy;Advances Therapy;SPR;X;false;SHC;ADIS;Springer Healthcare;;SHC;10.1007/12325.1865-8652
13596;https://covers.springernature.com/journals/jpg_width_153_pixels/13596.jpg;https://link.springer.com/journal/13596;EN;Advances in Traditional Medicine;Advances Traditional Medicine;SPR;X;false;SPVS;SPR;Springer Nature Singapore;;SPVS;10.1007/13596.2211-1069
42844;https://covers.springernature.com/journals/jpg_width_153_pixels/42844.jpg;https://link.springer.com/journal/42844;EN;Adversity and Resilience Science;Adversity Resilience Science;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;
10453;https://covers.springernature.com/journals/jpg_width_153_pixels/10453.jpg;https://link.springer.com/journal/10453;EN;Aerobiologia;Aerobiologia;SPR;X;false;SPNL;SPR;Springer Netherlands;;SPNL;10.1007/10453.1573-3025
41810;https://covers.springernature.com/journals/jpg_width_153_pixels/41810.jpg;https://link.springer.com/journal/41810;EN;Aerosol Science and Engineering;Aerosol Science  Engineering;SPR;X;false;SPVS;SPR;Springer Nature Singapore;;SPVS;
42401;https://covers.springernature.com/journals/jpg_width_153_pixels/42401.jpg;https://link.springer.com/journal/42401;EN;Aerospace Systems;Aerospace Systems;SPR;X;false;SPVS;SPR;Springer Nature Singapore;;SPVS;
42496;https://covers.springernature.com/journals/jpg_width_153_pixels/42496.jpg;https://link.springer.com/journal/42496;EN;Aerotecnica Missili & Spazio;Aerotecnica Missili  Spazio;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;
266;https://covers.springernature.com/journals/jpg_width_153_pixels/266.jpg;https://link.springer.com/journal/266;EN;Aesthetic Plastic Surgery;Aesthetic Plastic Surgery;SPR;X;false;SPVU;SPR;Springer US;;SPVU;10.1007/266.1432-5241
42761;https://covers.springernature.com/journals/jpg_width_153_pixels/42761.jpg;https://link.springer.com/journal/42761;EN;Affective Science;Affective Science;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;
10437;https://covers.springernature.com/journals/jpg_width_153_pixels/10437.jpg;https://link.springer.com/journal/10437;EN;African Archaeological Review;African Archaeological Review;SPR;X;false;SPVU;SPR;Springer US;;SPVU;10.1007/10437.1572-9842
12301;https://covers.springernature.com/journals/jpg_width_153_pixels/12301.jpg;https://link.springer.com/journal/12301;EN;African Journal of Urology;African Journal  Urology;SPR;X;true;SPVB;SPR;Springer Berlin Heidelberg;;SPVB;10.1007/12301.1961-9987
13370;https://covers.springernature.com/journals/jpg_width_153_pixels/13370.jpg;https://link.springer.com/journal/13370;EN;Afrika Matematika;Afrika Matematika;SPR;X;false;SPVB;SPR;Springer Berlin Heidelberg;;SPVB;10.1007/13370.2190-7668
12126;https://covers.springernature.com/journals/jpg_width_153_pixels/12126.jpg;https://link.springer.com/journal/12126;EN;Ageing International;Ageing International;SPR;X;false;SPVU;SPR;Springer US;;SPVU;10.1007/12126.1936-606X
40520;https://covers.springernature.com/journals/jpg_width_153_pixels/40520.jpg;https://link.springer.com/journal/40520;EN;Aging Clinical and Experimental Research;Aging Clinical  Experimental Research;SPR;X;false;SPCH;SPR;Springer International Publishing;;SPCH;
40100;https://covers.springernature.com/journals/jpg_width_153_pixels/40100.jpg;https://link.springer.com/journal/40100;EN;Agricultural and Food Economics;Agricultural Food Economics;SPR;X;true;SPVB;SPR;Springer Berlin Heidelberg;;SPVB;10.1007/40100.2193-7532
40003;https://covers.springernature.com/journals/jpg_width_153_pixels/40003.jpg;https://link.springer.com/journal/40003;EN;Agricultural Research;Agricultural Research;SPR;X;false;SPID;SPR;Springer India;;SPID;10.1007/40003.2249-7218
10460;https://covers.springernature.com/journals/jpg_width_153_pixels/10460.jpg;https://link.springer.com/journal/10460;EN;Agriculture and Human Values;Agriculture Human Values;SPR;X;false;SPNL;SPR;Springer Netherlands;;SPNL;10.1007/10460.1572-8366
10457;https://covers.springernature.com/journals/jpg_width_153_pixels/10457.jpg;https://link.springer.com/journal/10457;EN;Agroforestry Systems;Agroforestry Systems;SPR;X;false;SPNL;SPR;Springer Netherlands;;SPNL;10.1007/10457.1572-9680
13593;https://covers.springernature.com/journals/jpg_width_153_pixels/13593.jpg;https://link.springer.com/journal/13593;EN;Agronomy for Sustainable Development;Agronomy Sustainable Development;SPR;X;false;SPVP;SPR;Springer Paris;;SPVP;10.1007/13593.1773-0155
146;https://covers.springernature.com/journals/jpg_width_153_pixels/146.jpg;https://link.springer.com/journal/146;EN;AI & SOCIETY;AI SOCIETY;SPR;X;false;SPVL;SPR;Springer London;;SPVL;10.1007/146.1435-5655
